,Subject,Dice,IoU,HD95,Slices,Image
17,R009,0.9733,0.9733,271.53,187,sub-r009s016_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
66,R040,0.9683,0.9555,1.71,187,sub-r040s013_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
26,R009,0.9305,0.9305,118.57,187,sub-r009s062_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
18,R009,0.9305,0.9305,271.53,187,sub-r009s018_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
20,R009,0.9251,0.9251,271.53,187,sub-r009s028_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
70,R040,0.9198,0.9198,271.53,187,sub-r040s085_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
38,R014,0.9144,0.9144,245.54,187,sub-r014s002_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
16,R009,0.9091,0.9091,271.53,187,sub-r009s010_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
6,R003,0.9075,0.8774,26.89,187,sub-r003s013_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
37,R011,0.9051,0.8952,11.89,187,sub-r011s028_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
30,R009,0.893,0.893,230.06,187,sub-r009s120_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
65,R040,0.8918,0.8596,41.31,187,sub-r040s011_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
74,R047,0.8891,0.8793,7.69,187,sub-r047s006_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
39,R015,0.8885,0.8622,32.47,187,sub-r015s001_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
55,R034,0.8848,0.8499,6.71,187,sub-r034s025_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
36,R011,0.8831,0.8668,77.24,187,sub-r011s023_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
71,R042,0.8786,0.854,24.02,187,sub-r042s030_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
13,R005,0.873,0.8535,24.74,187,sub-r005s070_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
29,R009,0.8717,0.8717,271.53,187,sub-r009s106_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
12,R004,0.871,0.827,29.4,187,sub-r004s035_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
23,R009,0.8663,0.8663,271.53,187,sub-r009s041_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
57,R035,0.8663,0.8663,271.53,187,sub-r035s003_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
0,R001,0.865,0.8201,18.36,187,sub-r001s005_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
79,R048,0.8621,0.8387,91.49,187,sub-r048s039_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
82,R052,0.8543,0.8179,46.66,187,sub-r052s014_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
35,R011,0.8489,0.8385,129.87,187,sub-r011s015_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
75,R047,0.8486,0.7887,30.11,187,sub-r047s021_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
44,R024,0.8453,0.8124,42.49,187,sub-r024s005_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
50,R031,0.8453,0.8152,63.48,187,sub-r031s015_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
54,R034,0.8322,0.7849,53.42,187,sub-r034s007_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
3,R001,0.8315,0.8068,38.44,187,sub-r001s034_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
48,R029,0.8313,0.7941,47.87,187,sub-r029s003_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
33,R010,0.823,0.8098,115.42,187,sub-r010s027_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
58,R038,0.8209,0.814,150.74,187,sub-r038s006_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
34,R011,0.8196,0.7938,101.54,187,sub-r011s012_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
11,R004,0.814,0.7713,46.01,187,sub-r004s030_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
47,R028,0.8112,0.7621,42.57,187,sub-r028s013_ses-1_space-MNI152NLin2009aSym_T1w.nii.gz
