Scanner Brand,Dice mean,Dice std,Dice count,IoU mean,IoU std,IoU count,HD95 mean,HD95 std,HD95 count
GE 750 Discovery,0.7976,0.1176,19,0.7894,0.1255,19,195.9484,73.192,19
GE Signa Excite,0.8078,0.0422,5,0.7834,0.0388,5,85.24,69.5638,5
GE Signa HD-X,0.8642,0.0377,4,0.8486,0.0432,4,80.135,50.324,4
Philips,0.8212,0.0142,2,0.7781,0.0226,2,45.22,3.7477,2
Philips Achieva,0.7505,0.1087,10,0.7221,0.1016,10,101.758,55.6017,10
Siemens Allegra,0.7463,0.096,7,0.7282,0.1048,7,126.1829,50.7489,7
Siemens Magnetom Skyra,0.8475,0.0421,3,0.8204,0.0511,3,25.6567,16.2056,3
Siemens Prisma,0.7935,0.0649,8,0.7695,0.07,8,94.125,93.111,8
Siemens Skyra,0.7732,0.0032,2,0.7691,0.0089,2,210.295,86.5994,2
Siemens Trio,0.7998,0.0733,11,0.7564,0.0815,11,46.7082,26.8211,11
Siemens TrioTim,0.8158,0.0951,5,0.7773,0.123,5,80.64,92.2712,5
Siemens Verio,0.7353,0.0492,2,0.7353,0.0492,2,252.705,26.6226,2
Siemens Vision,0.8253,0.1165,6,0.7985,0.1304,6,92.5867,96.3083,6
