epoch,train_loss,train_dsc,val_loss,val_dsc,val_iou,val_hd95,lr,elapsed_sec,best_dsc,is_best
1,0.545814,0.152880,0.489836,0.268024,0.250475,0.000000,1.22e-04,5895.9,0.000000,1
2,0.431771,0.399111,0.455889,0.374432,0.353125,0.000000,1.86e-04,6845.8,0.268024,1
3,0.331500,0.483317,0.128166,0.772127,0.753488,0.000000,2.86e-04,7080.8,0.374432,1
4,0.239016,0.536167,0.163175,0.678750,0.656494,0.000000,4.11e-04,7145.3,0.772127,0
5,0.221043,0.566962,0.116444,0.768939,0.748766,58.014181,5.50e-04,7244.8,0.772127,0
6,0.209400,0.585156,0.105939,0.777086,0.755116,0.000000,6.90e-04,7173.5,0.772127,1
7,0.203207,0.594958,0.102230,0.789400,0.768700,0.000000,8.15e-04,7284.4,0.777086,1
8,0.196436,0.605022,0.104123,0.786264,0.765084,0.000000,9.14e-04,6938.4,0.789400,0
9,0.190753,0.616615,0.089916,0.807170,0.785782,0.000000,9.78e-04,5895.1,0.789400,1
10,0.183815,0.633562,0.102672,0.783897,0.763051,57.468718,1.00e-03,6094.8,0.807170,0
11,0.177966,0.644076,0.106978,0.782101,0.760919,0.000000,1.00e-03,6035.2,0.807170,0
12,0.174761,0.652216,0.085572,0.811377,0.788484,0.000000,9.99e-04,6120.5,0.807170,1
13,0.169789,0.659265,0.098165,0.791024,0.769463,0.000000,9.97e-04,6262.4,0.811377,0
.667079,0.103915,0.779232,0.756720,0.000000,9.95e-04,788.7,0.825744,0
15,0.164232,0.672020,0.081006,0.820785,0.798029,53.414900,9.92e-04,766.4,0.825744,0
16,0.159023,0.682159,0.091983,0.796245,0.772001,0.000000,9.89e-04,778.7,0.825744,0
17,0.156615,0.686460,0.081119,0.818832,0.795497,0.000000,9.85e-04,818.9,0.825744,0
18,0.154365,0.689661,0.081413,0.825717,0.805358,0.000000,9.81e-04,806.3,0.825744,0
19,0.151140,0.696469,0.082156,0.823592,0.803158,0.000000,9.75e-04,828.3,0.825744,0
20,0.151074,0.698619,0.089310,0.804313,0.780461,46.509107,9.70e-04,879.5,0.825744,0
21,0.147213,0.703989,0.080899,0.817643,0.794325,0.000000,9.64e-04,841.4,0.825744,0
22,0.145930,0.704824,0.083639,0.811537,0.787840,0.000000,9.57e-04,838.3,0.825744,0
23,0.145059,0.707902,0.081858,0.817447,0.794863,0.000000,9.49e-04,731.2,0.825744,0
24,0.143246,0.709222,0.085774,0.806729,0.782769,0.000000,9.41e-04,702.8,0.825744,0
25,0.141247,0.714315,0.076845,0.827496,0.804982,50.415158,9.33e-04,860.2,0.825744,1
26,0.140308,0.715787,0.080124,0.817955,0.794513,0.000000,9.24e-04,846.4,0.827496,0
27,0.139300,0.715811,0.075985,0.828012,0.804352,0.000000,9.14e-04,847.3,0.827496,1
28,0.137082,0.722369,0.084339,0.809841,0.785740,0.000000,9.04e-04,849.7,0.828012,0
29,0.136317,0.724478,0.072735,0.831079,0.806824,0.000000,8.94e-04,840.4,0.828012,1
30,0.135568,0.726238,0.081469,0.811403,0.786568,40.075618,8.83e-04,898.7,0.831079,0
31,0.133919,0.729328,0.077109,0.825417,0.802556,0.000000,8.71e-04,825.1,0.831079,0
32,0.133025,0.729869,0.088408,0.801354,0.776204,0.000000,8.60e-04,728.4,0.831079,0
33,0.132549,0.730260,0.085549,0.805307,0.780383,0.000000,8.47e-04,737.1,0.831079,0
34,0.130528,0.735385,0.083702,0.809014,0.784085,0.000000,8.34e-04,827.6,0.831079,0
35,0.130767,0.731300,0.071907,0.832859,0.809026,45.761472,8.21e-04,917.7,0.831079,1
36,0.129071,0.737866,0.078716,0.819914,0.795228,0.000000,8.08e-04,829.0,0.832859,0
37,0.127487,0.740680,0.079122,0.818166,0.793652,0.000000,7.94e-04,828.7,0.832859,0
38,0.127279,0.739529,0.073192,0.827839,0.803363,0.000000,7.79e-04,823.6,0.832859,0
39,0.126543,0.741287,0.076027,0.824560,0.800315,0.000000,7.65e-04,824.3,0.832859,0
